,States,Population,Adult Number,Adult Percent ,Child Number,Child Percent,State Code
2,California,3313415,2848466,9.3%,464949,5.3%,CA
3,Texas,2148148,1617392,7.4%,530756,7.1%,TX
4,New York,1778160,1449094,9.5%,329066,8.0%,NY
5,Florida,1572585,1276625,7.3%,295960,6.9%,FL
6,Pennsylvania,1272907,1032246,10.2%,240661,9.0%,PA
7,Ohio,1080631,895631,9.9%,185000,7.1%,OH
8,Michigan,1027498,859534,11.0%,167964,7.8%,MI
9,Illinois,1008847,832244,8.5%,176603,6.3%,IL
10,Georgia,979245,736912,9.0%,242333,9.6%,GA
11,North Carolina,776970,645784,7.8%,131186,5.7%,NC
12,New Jersey,722060,598649,8.7%,123411,6.1%,NJ
13,Massachusetts,698294,592048,10.7%,106246,7.8%,MA
14,Washington,682017,579774,9.6%,102243,6.1%,WA
15,Virginia,672943,571162,8.6%,101781,5.4%,VA
16,Tennessee,638434,552156,10.3%,86278,5.6%,TN
17,Arizona,657252,550729,9.6%,106523,6.6%,AZ
18,Indiana,603868,497539,9.6%,106329,6.7%,IN
19,Wisconsin,549243,465109,10.2%,84134,6.6%,WI
20,Missouri,533158,441777,9.3%,91381,6.6%,MO
21,Colorado,520580,434782,9.6%,85798,6.9%,CO
22,Maryland,528387,420686,8.9%,107701,7.9%,MD
23,Kentucky,459635,395633,11.5%,64002,6.3%,KY
24,South Carolina,473991,385741,9.4%,88250,7.9%,SC
25,Minnesota,437751,369238,8.5%,68513,5.2%,MN
26,Oregon,410362,356958,10.6%,53404,6.2%,OR
27,Alabama,437111,341720,9.0%,95391,8.5%,AL
28,Oklahoma,409297,322759,10.8%,86538,9.0%,OK
29,Connecticut,369245,299193,10.6%,70052,9.6%,CT
30,Louisiana,348185,276711,7.8%,71474,6.6%,LA
31,Utah,305550,249663,10.8%,55887,5.9%,UT
32,Nevada,268163,230431,9.5%,37732,5.4%,NV
33,Iowa,261322,220085,9.1%,41237,5.6%,IA
34,Kansas,271151,216312,9.8%,54839,7.8%,KS
35,Arkansas,270128,210340,9.1%,59788,8.5%,AR
36,Mississippi,271942,201273,8.9%,70669,10.2%,MS
37,West Virginia,196912,175011,12.4%,21901,6.1%,WV
38,New Mexico,206667,162657,10.1%,44010,9.3%,NM
39,Idaho,150388,127406,9.4%,22982,4.9%,ID
40,New Hampshire,143521,127113,11.5%,16408,6.4%,NH
41,Maine,132499,115621,10.6%,16878,6.7%,ME
42,Nebraska,134868,114104,7.8%,20764,4.3%,NE
43,Rhode Island,118643,103190,12.1%,15453,7.4%,RI
44,Hawaii,115763,96890,8.8%,18873,6.2%,HI
45,Montana,104361,89552,10.6%,14809,6.3%,MT
46,Delaware,103424,83428,10.8%,19996,9.6%,DE
47,Vermont,62969,54781,10.8%,8188,7.0%,VT
48,South Dakota,65673,53990,8.1%,11683,5.3%,SD
49,North Dakota,60282,49883,8.6%,10399,5.6%,ND
50,Alaska,58038,48173,8.9%,9865,5.5%,AK
51,Wyoming,53064,44192,10.0%,8872,6.7%,WY
